CPTCode,Total,TC27,PC26
74176,409.70,247.84,161.86
74177,642.63,472.89,169.74
74178,812.79,625.04,187.75
74181,830.45,664.36,166.09
74182,1073.47,918.72,128.58
74183,1917.80,1748.75,169.05
74185,844.02,675.22,168.80
74190,118.74,77.18,41.56
74210,105.84,63.50,42.34
74220,116.01,69.61,46.40
74230,130.26,78.16,52.10
74235,271.38,176.40,94.98
74240,154.68,92.81,61.87
74241,156.72,94.03,62.69
74245,231.36,138.82,92.54
74246,166.23,99.74,66.49
74247,168.27,100.96,67.31
74249,242.22,145.33,96.89
74250,123.48,74.09,49.39
74251,137.73,82.64,55.09
74260,138.42,83.05,55.37
74261,747.19,540.82,206.37
74262,839.31,612.79,226.52
74263,BR,BR,BR
74270,169.62,101.77,67.85
74280,230.01,138.01,92.00
74283,347.37,208.42,138.95
74290,75.30,45.18,30.12
74300,99.06,64.39,34.67
74301,56.31,36.60,19.71
74305,88.20,57.33,30.87
74320,242.22,157.44,84.78
74327,173.70,112.90,60.80
74328,257.82,167.58,90.24
74329,257.82,167.58,90.24
74330,257.82,167.58,90.24
74340,211.01,137.16,73.85
74355,232.04,150.83,81.21
74360,242.22,157.44,84.78
74363,453.21,294.59,158.62
74400,148.59,89.15,59.44
74410,164.88,98.93,65.95
74415,175.05,105.03,70.02
74420,193.37,116.02,77.35
74425,112.62,73.20,39.42
74430,94.32,61.31,33.01
74440,105.15,68.35,36.80
74445,176.40,114.66,61.74
74450,120.09,78.06,42.03
74455,126.87,82.47,44.40
74470,127.56,82.91,44.65
74475,298.53,194.04,104.49
74480,298.53,194.04,104.49
74485,242.22,157.44,84.78
74710,96.33,57.80,38.53
74740,115.35,74.98,40.37
74742,246.96,160.52,86.44
74775,147.90,88.74,59.16
75557,976.82,752.82,224.01
75559,1429.11,1142.80,286.32
75561,1322.49,1074.69,247.80
75563,1641.25,1343.89,297.35
75565,166.58,143.06,23.52
75571,164.21,111.66,52.55
75572,482.16,322.32,159.84
75573,685.26,456.44,228.81
75574,1059.16,841.11,218.05
75600,808.74,727.87,80.87
75605,870.48,739.91,130.57
75625,870.48,739.91,130.57
75630,918.65,780.85,137.80
75635,791.43,599.08,192.35
75658,886.76,753.75,133.01
75705,970.22,776.18,194.04
75710,870.48,739.91,130.57
75716,886.76,753.75,133.01
75726,870.48,739.91,130.57
75731,870.48,739.91,130.57
75733,886.76,753.75,133.01
75736,870.48,739.91,130.57
75741,886.76,753.75,133.01
75743,920.00,782.00,138.00
75746,870.48,739.91,130.57
75756,870.48,739.91,130.57
75774,796.52,716.87,79.65
75791,558.82,403.45,155.37
75801,405.05,324.04,81.01
75803,438.30,350.64,87.66
75805,446.43,357.14,89.29
75807,479.69,383.75,95.94
75809,90.92,59.10,31.82
75810,870.48,739.91,130.57
75820,124.17,80.71,43.46
75822,189.96,123.47,66.49
75825,870.48,739.91,130.57
75827,870.48,739.91,130.57
75831,870.48,739.91,130.57
75833,903.74,768.18,135.56
75840,870.48,739.91,130.57
75842,903.74,768.18,135.56
75860,870.48,739.91,130.57
75870,870.48,739.91,130.57
75872,870.48,739.91,130.57
75880,124.17,105.54,18.63
75885,898.97,764.12,134.85
75887,898.97,764.12,134.85
75889,870.48,739.91,130.57
75891,870.48,739.91,130.57
75893,814.16,732.74,81.42
75894,1584.23,1425.81,158.42
75896,1393.58,1254.22,139.36
75898,221.19,176.95,44.24
75901,163.39,116.86,46.53
75902,153.72,116.86,36.87
75945,304.39,272.99,31.40
75946,168.19,136.79,31.40
75952,430.00,,
75953,164.31,,
75954,156.51,,
75956,737.94,,
75957,632.26,,
75958,421.58,,
75959,369.09,,
75962,1004.15,903.73,100.42
75964,542.10,487.89,54.21
75966,1076.75,969.07,107.68
75968,542.10,487.89,54.21
75970,778.22,700.40,77.82
75978,1018.40,916.56,101.84
75980,464.76,325.33,139.43
75982,506.15,354.30,151.85
75984,187.26,121.72,65.54
75989,303.27,197.13,106.14
76000,94.32,61.31,33.01
76001,223.89,145.53,78.36
76010,48.84,31.75,17.09
76080,116.01,75.41,40.60
76085,25.46,19.58,5.88
76098,40.71,24.43,16.28
76100,131.63,78.98,52.65
76101,141.81,85.09,56.72
76102,160.80,96.48,64.32
76120,99.74,59.84,39.90
76125,73.28,43.97,29.31
76140,BR,BR,BR
76376,258.76,238.20,20.60
76377,330.06,249.14,80.93
76380,305.31,213.72,91.59
76390,866.44,729.75,136.69
76490,293.53,105.23,188.30
76496,BR,BR,BR
76497,BR,BR,BR
76498,BR,BR,BR
76499,BR,BR,BR
76506,146.55,80.60,65.95
76510,316.38,153.11,163.28
76511,154.02,84.71,69.31
76512,155.37,85.45,69.92
76513,155.37,85.45,69.92
76514,22.89,4.55,18.35
76516,127.56,70.16,57.40
76519,127.56,70.16,57.40
76529,137.73,75.75,61.98
76536,139.77,76.87,62.90
76604,132.30,72.76,59.54
76641,202.33,130.89,71.44
76642,166.89,100.25,66.64
76700,196.76,108.22,88.54
76705,142.47,78.36,64.11
76770,190.65,104.86,85.79
76775,141.81,78.00,63.81
76776,224.85,157.19,67.66
76800,193.37,106.35,87.02
76801,169.23,74.11,95.12
76802,131.85,51.94,79.91
76805,221.85,122.02,99.83
76810,441.69,242.93,198.76
76811,436.02,251.06,184.97
76812,257.66,84.40,173.26
76813,228.71,125.03,103.68
76814,151.02,64.07,86.95
76815,147.90,81.34,66.56
76816,122.13,67.17,54.96
76817,175.62,103.51,72.11
76818,171.66,94.41,77.25
76819,178.22,114.48,63.74
76820,167.95,116.32,51.62
76821,188.29,116.32,71.97
76825,206.94,113.82,93.12
76826,140.45,77.25,63.20
76827,187.26,102.99,84.27
76828,122.79,67.53,55.26
76830,158.76,87.32,71.44
76831,168.34,99.37,68.97
76856,158.76,87.32,71.44
76857,99.74,54.86,44.88
76870,153.33,84.33,69.00
76872,158.76,87.32,71.44
76873,271.62,144.55,127.07
76881,217.31,162.19,55.12
76882,57.19,18.97,38.22
76885,169.62,99.37,70.25
76886,151.33,92.41,58.92
76930,156.72,86.20,70.52
76932,156.72,86.20,70.52
76936,519.03,285.47,233.56
76937,60.76,29.73,31.03
76940,313.21,116.68,196.53
76941,221.19,121.65,99.54
76942,156.72,86.20,70.52
76945,177.09,97.40,79.69
76946,128.91,70.90,58.01
76948,128.91,70.90,58.01
76965,563.49,340.59,222.90
76970,101.76,55.97,45.79
76975,168.27,92.55,75.72
76977,75.68,55.45,20.23
76998,113.01,,
76999,BR,BR,BR
7700,,,
77002,136.49,88.20,48.29
77003,135.10,80.67,54.43
77011,882.31,772.30,110.01
77012,580.00,475.08,104.94
77013,362.07,,
77014,307.56,230.06,77.50
77021,889.04,750.99,138.04
77022,,,
77051,30.67,25.13,5.55
77052,30.67,25.13,5.55
77053,182.61,149.69,32.93
77054,262.11,221.19,40.92
77055,142.79,79.52,63.27
