CPTCode,Total,OFF,FAC,TC27,PC26,FUD
32124,1743.05, , , , ,90
32140,1951.89, , , , ,90
32141,2033.14, , , , ,90
32150,1809.67, , , , ,90
32151,1700.80, , , , ,90
32160,1287.17, , , , ,90
32200,1572.40, , , , ,45
32215,1399.32, , , , ,45
32220,2657.24, , , , ,45
32225,1904.76, , , , ,45
32310,1879.56, , , , ,90
32320,2960.32, , , , ,90
32400,221.06, , , , ,0
32405,275.96, , , , ,0
32440,2999.34, , , , ,90
32442,3387.77, , , , ,90
32445,3482.84, , , , ,90
32480,2701.92, , , , ,90
32482,2836.00, , , , ,90
32484,2913.19, , , , ,90
32486,3122.86, , , , ,90
32488,3350.38, , , , ,90
32491,BR, , , , ,0
32501,740.86, , , , ,0
32503,3645.66, , , , ,90
32504,4171.01, , , , ,90
32505, , ,"$1,839.91 ", , ,0
32506, , ,$310.61 , , ,0
32507, , ,$310.61, , ,0
32540,1979.52, , , , ,90
32550, ,"$1,573.90",$423.19, , ,0
32551, , ,$332.85, , ,0
32552, ,$344.25,$305.04, , ,10
32553, ,"$1,107.15",$393.42, , ,0
32554, ,"$1,088.32",$178.07, , ,0
32555, ,"1,255.32",$222.27, , ,0
32556, ,"$1,148.97",243.92, , ,0
32557, ,"1,855.77",$321.79, , ,0
32560, ,$579.95,$209.17, , ,0
32561, ,$180.41,$138.47, , ,0
32562, ,$160.39,$123.95, , ,0
32601,706.15, , , , ,0
32604,999.51, , , , ,15
32606,$969.44, , , , ,15
32607 , , ,$611.16 , , ,0
32608 , , ,$750.62 , , ,0
32609, , ,$518.23, , ,0
32650,1399.32, , , , ,15
32651,1904.76, , , , ,15
32652,2657.24, , , , ,15
32653,1809.67, , , , ,15
32654,1844.63, , , , ,15
32655,2055.08, , , , ,15
32656,2019.34, , , , ,15
32658,1937.27, , , , ,15
32659,1978.69, , , , ,15
32661,1733.28, , , , ,15
32662,2408.57, , , , ,15
32663,2748.25, , , , ,15
32664,1923.44, , , , ,15
