CPTCode,Total,OFF,FAC,TC27,PC26
81295 ,BR, , ,BR,BR
81296 ,BR, , ,BR,BR
81297 ,BR, , ,BR,BR
81298 ,BR, , ,BR,BR
81299 ,BR, , ,BR,BR
81300,BR, , ,BR,BR
81301 ,BR, , ,BR,BR
81302 ,BR, , ,BR,BR
81303 ,BR, , ,BR,BR
81304 ,BR, , ,BR,BR
81310 ,BR, , ,BR,BR
81313,BR, , ,BR,BR
81315 ,BR, , ,BR,BR
81316 ,BR, , ,BR,BR
81317 ,BR, , ,BR,BR
81318 ,BR, , ,BR,BR
81319,BR, , ,BR,BR
81321,BR, , ,BR,BR
81322,BR, , ,BR,BR
81323,BR, , ,BR,BR
81324,BR, , ,BR,BR
81325,BR, , ,BR,BR
81326,BR, , ,BR,BR
81330 ,BR, , ,BR,BR
81331 ,BR, , ,BR,BR
81332 ,BR, , ,BR,BR
81340 ,BR, , ,BR,BR
81341 ,BR, , ,BR,BR
81342 ,BR, , ,BR,BR
81350 ,BR, , ,BR,BR
81355 ,BR, , ,BR,BR
81370 ,BR, , ,BR,BR
81371,BR, , ,BR,BR
81372 ,BR, , ,BR,BR
81373 ,BR, , ,BR,BR
81374 ,BR, , ,BR,BR
81375 ,BR, , ,BR,BR
81376 ,BR, , ,BR,BR
81377 ,BR, , ,BR,BR
81378 ,BR, , ,BR,BR
81379 ,BR, , ,BR,BR
81380 ,BR, , ,BR,BR
81381,BR, , ,BR,BR
81382 ,BR, , ,BR,BR
81383 ,BR, , ,BR,BR
81400 ,BR, , ,BR,BR
81401 ,BR, , ,BR,BR
81402 ,BR, , ,BR,BR
81403 ,BR, , ,BR,BR
81404 ,BR, , ,BR,BR
81405 ,BR, , ,BR,BR
81406 ,BR, , ,BR,BR
81407 ,BR, , ,BR,BR
81408 ,BR, , ,BR,BR
81410,BR, , ,BR,BR
81411,BR, , ,BR,BR
81415,BR, , ,BR,BR
81416,BR, , ,BR,BR
81417,BR, , ,BR,BR
81420,BR, , ,BR,BR
81425,BR, , ,BR,BR
81426,BR, , ,BR,BR
81427,BR, , ,BR,BR
81430,BR, , ,BR,BR
81431,BR, , ,BR,BR
81435,BR, , ,BR,BR
81436,BR, , ,BR,BR
81440,BR, , ,BR,BR
81445,BR, , ,BR,BR
81450,BR, , ,BR,BR
81455,BR, , ,BR,BR
81460,BR, , ,BR,BR
81465,BR, , ,BR,BR
81460,BR, , ,BR,BR
81465,BR, , ,BR,BR
81470,BR, , ,BR,BR
81471,BR, , ,BR,BR
81479 ,BR, , ,BR,BR
81,BR, , ,BR,BR
81,BR, , ,BR,BR
81504,BR, , ,BR,BR
81506,BR, , ,BR,BR
81507,BR, , ,BR,BR
81508,BR, , ,BR,BR
81509,BR, , ,BR,BR
81510,BR, , ,BR,BR
81511 ,BR, , ,BR,BR
81512,BR, , ,BR,BR
81519,BR, , ,BR,BR
81599,BR, , ,BR,BR
82777,BR, , ,BR,BR
87389,BR, , ,BR,BR
82009,$9.41, , , , 
82010,$20.50, , , , 
82013,$34.34, , , , 
82016,BR, , ,BR,BR
82017,BR, , ,BR,BR
82024,$76.99, , , , 
82030,$59.82, , , , 
82040,$11.07, , , , 
82042,$13.84, , , , 
82043,$29.90, , , , 
82044,$15.50, , , , 
82045,BR, , ,BR,BR
